,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.2%,51.2%,48.8%,"1,220,481"
1,2,Haven,15.1%,51.1%,48.9%,"1,388,781"
2,3,Icebox,14.9%,51.1%,48.9%,"1,376,796"
3,4,Fracture,11.2%,50.6%,49.4%,"1,032,087"
4,5,Bind,15.2%,48.0%,52.0%,"1,405,662"
5,6,Split,15.0%,48.0%,52.0%,"1,381,998"
6,7,Ascent,15.4%,48.0%,52.0%,"1,417,290"
